program,experiment,simulator,win_count
gzip,experiment_8,ideal,60.0
gzip,experiment_8,sampling_noise,46.0
gzip,experiment_8,fake_brisbane,51.0
gzip,experiment_8,depolarizing_01,52.0
gzip,experiment_8,depolarizing_02,49.0
gzip,experiment_8,depolarizing_05,47.0
gzip,experiment_9,ideal,60.0
gzip,experiment_9,sampling_noise,44.0
gzip,experiment_9,fake_brisbane,47.0
gzip,experiment_9,depolarizing_01,48.0
gzip,experiment_9,depolarizing_02,51.0
gzip,experiment_9,depolarizing_05,50.0
sed,experiment_0,ideal,75.0
sed,experiment_0,sampling_noise,67.0
sed,experiment_0,fake_brisbane,66.0
sed,experiment_0,depolarizing_01,68.0
sed,experiment_0,depolarizing_02,68.0
sed,experiment_0,depolarizing_05,66.0
sed,experiment_1,ideal,76.0
sed,experiment_1,sampling_noise,68.0
sed,experiment_1,fake_brisbane,66.0
sed,experiment_1,depolarizing_01,65.0
sed,experiment_1,depolarizing_02,69.0
sed,experiment_1,depolarizing_05,64.0
sed,experiment_2,ideal,76.0
sed,experiment_2,sampling_noise,67.0
sed,experiment_2,fake_brisbane,68.0
sed,experiment_2,depolarizing_01,68.0
sed,experiment_2,depolarizing_02,66.0
sed,experiment_2,depolarizing_05,66.0
sed,experiment_3,ideal,76.0
sed,experiment_3,sampling_noise,68.0
sed,experiment_3,fake_brisbane,65.0
sed,experiment_3,depolarizing_01,65.0
sed,experiment_3,depolarizing_02,66.0
sed,experiment_3,depolarizing_05,67.0
sed,experiment_4,ideal,76.0
sed,experiment_4,sampling_noise,69.0
sed,experiment_4,fake_brisbane,66.0
sed,experiment_4,depolarizing_01,68.0
sed,experiment_4,depolarizing_02,67.0
sed,experiment_4,depolarizing_05,67.0
sed,experiment_5,ideal,76.0
sed,experiment_5,sampling_noise,69.0
sed,experiment_5,fake_brisbane,65.0
sed,experiment_5,depolarizing_01,64.0
sed,experiment_5,depolarizing_02,68.0
sed,experiment_5,depolarizing_05,70.0
sed,experiment_6,ideal,75.0
sed,experiment_6,sampling_noise,67.0
sed,experiment_6,fake_brisbane,67.0
sed,experiment_6,depolarizing_01,67.0
sed,experiment_6,depolarizing_02,66.0
sed,experiment_6,depolarizing_05,68.0
sed,experiment_7,ideal,76.0
sed,experiment_7,sampling_noise,66.0
sed,experiment_7,fake_brisbane,69.0
sed,experiment_7,depolarizing_01,66.0
sed,experiment_7,depolarizing_02,67.0
sed,experiment_7,depolarizing_05,64.0
sed,experiment_8,ideal,76.0
sed,experiment_8,sampling_noise,65.0
sed,experiment_8,fake_brisbane,66.0
sed,experiment_8,depolarizing_01,67.0
sed,experiment_8,depolarizing_02,63.0
sed,experiment_8,depolarizing_05,63.0
sed,experiment_9,ideal,76.0
sed,experiment_9,sampling_noise,67.0
sed,experiment_9,fake_brisbane,65.0
sed,experiment_9,depolarizing_01,66.0
sed,experiment_9,depolarizing_02,67.0
sed,experiment_9,depolarizing_05,68.0
