dataset,sub_suite_id,sampler,best_of_iter_AR,median_of_iter_AR
elevator,158,Statevector Simulator,1.0,1.0
elevator,159,Fake Brisbane Backend,1.0,1.0
elevator,159,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,159,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,159,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,159,Sampling Noise Only,1.0,1.0
elevator,159,Statevector Simulator,1.0,1.0
elevator,16,Fake Brisbane Backend,1.0,1.0
elevator,16,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,16,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,16,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,16,Sampling Noise Only,1.0,1.0
elevator,16,Statevector Simulator,1.0,1.0
elevator,160,Fake Brisbane Backend,1.0,1.0
elevator,160,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,160,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,160,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,160,Sampling Noise Only,1.0,1.0
elevator,160,Statevector Simulator,1.0,1.0
elevator,161,Fake Brisbane Backend,1.0,1.0
elevator,161,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,161,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,161,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,161,Sampling Noise Only,1.0,1.0
elevator,161,Statevector Simulator,1.0,1.0
elevator,162,Fake Brisbane Backend,1.0,1.0
elevator,162,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,162,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,162,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,162,Sampling Noise Only,1.0,1.0
elevator,162,Statevector Simulator,1.0,1.0
elevator,163,Fake Brisbane Backend,1.0,1.0
elevator,163,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,163,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,163,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,163,Sampling Noise Only,1.0,1.0
elevator,163,Statevector Simulator,1.0,1.0
elevator,164,Fake Brisbane Backend,1.0,1.0
elevator,164,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,164,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,164,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,164,Sampling Noise Only,1.0,1.0
elevator,164,Statevector Simulator,1.0,1.0
elevator,165,Fake Brisbane Backend,1.0,1.0
elevator,165,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,165,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,165,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,165,Sampling Noise Only,1.0,1.0
elevator,165,Statevector Simulator,1.0,1.0
elevator,166,Fake Brisbane Backend,1.0,1.0
elevator,166,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,166,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,166,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,166,Sampling Noise Only,1.0,1.0
elevator,166,Statevector Simulator,1.0,1.0
elevator,167,Fake Brisbane Backend,1.0,1.0
